Location,lyme,babesiosis,anaplasmosis,Population,COUNTY
East Millinocket,NA,0,0,8180,Penobscot
Eastbrook,0,0,0,2169,Hancock
Easton,0,0,0,6269,Aroostook
Eastport,NA,0,0,6147,Washington
Eddington,182,0,9.1,10989,Penobscot
Edgecomb,205,0,NA,6343,Lincoln
Edinburg,0,0,0,623,Penobscot
Eliot,159,36.7,24.5,32696,York
Ellsworth,189.2,2.5,7.6,39636,Hancock
Embden,154.7,0,0,4526,Somerset
Enfield,NA,0,0,7775,Penobscot
Etna,95.5,0,0,6281,Penobscot
Eustis,NA,0,0,3069,Franklin
Exeter,NA,0,0,5392,Penobscot
Fairfield,94.7,0,18.3,32723,Somerset
Falmouth,97.1,5.1,25.5,58725,Cumberland
Farmingdale,170.9,6.8,27.3,14627,Kennebec
Farmington,71.8,0,10.6,37590,Franklin
Fayette,265.2,NA,NA,5657,Kennebec
Fletchers Landing Twp,0,0,0,611,Hancock
Fort Fairfield,0,0,0,16647,Aroostook
Fort Kent,5.2,0,0,19407,Aroostook
Frankfort,NA,0,NA,5847,Waldo
Franklin,159.7,0,NA,7514,Hancock
Freedom,244.8,0,NA,3677,Waldo
Freeport,226.5,12,94,41507,Cumberland
Frenchboro,0,0,0,335,Hancock
Frenchville,0,0,0,4980,Aroostook
Friendship,311.7,NA,103.9,5774,Knox
Frye Island,NA,NA,NA,27,Cumberland
Fryeburg,46.2,0,34.7,17301,Oxford
Gardiner,202.2,13.9,66.2,28683,Kennebec
Garfield Plt,0,0,0,381,NA
Garland,NA,0,0,5376,Penobscot
Georgetown,459.2,NA,248.8,5226,Sagadahoc
Gilead,0,0,0,1065,Oxford
Glenburn,56.3,0,8.7,23101,Penobscot
Glenwood Plt,NA,NA,NA,15,NA
Gorham,130.4,9.2,27.5,87421,Cumberland
Gouldsboro,115.1,0,NA,8687,Hancock
Grand Isle,0,0,0,2162,Aroostook
Grand Lake Stream Plt,0,0,0,499,NA
Gray,165.5,17,41.4,41090,Cumberland
Great Pond,0,0,0,316,Hancock
Greenbush,NA,0,0,7599,Penobscot
Greene,122.6,NA,59,22017,Androscoggin
Greenville,NA,0,0,7713,Piscataquis
Greenwood,NA,0,NA,4212,Oxford
Guilford,NA,0,0,7281,Piscataquis
Hallowell,154.4,0,60,11658,Kennebec
Hamlin,0,0,0,1000,Aroostook
Hammond,0,0,0,564,Aroostook
Hampden,116.8,8.1,2.7,36823,Penobscot
Hancock,230.3,0,16.4,12160,Hancock
Hanover,NA,0,0,1209,Oxford
Harmony,NA,NA,0,4430,Somerset
Harpswell,167.9,0,50.4,23817,Cumberland
Harrington,NA,0,NA,4900,Washington
Harrison,142.7,7.1,28.5,14019,Cumberland
Hartford,99.6,0,NA,6026,Oxford
Hartland,128.3,0,NA,8571,Somerset
Haynesville,0,0,0,541,Aroostook
Hebron,151.5,NA,NA,7262,Oxford
Hermon,92.9,0,10.3,29066,Penobscot
Hersey,0,0,0,407,Aroostook
Hibberts Gore,NA,NA,NA,5,Lincoln
Highland Plt,0,0,0,349,NA
Hiram,242.3,NA,NA,8254,Oxford
Hodgdon,NA,0,0,6425,Aroostook
Holden,151.1,0,32.9,15217,Penobscot
Hollis,169.7,4.4,39.2,22981,York
Hope,319.7,73.8,221.3,8133,Knox
