town,year,borrelia_percent,borrelia_positive,borrelia_tests,anaplasma_percent,anaplasma_positive,anaplasma_tests,babesia_percent,babesia_positive,babesia_tests,ehrlichia_percent,ehrlichia_positive,ehrlichia_tests,francisella_percent,francisella_positive,francisella_tests,rickettsia_percent,rickettsia_positive,rickettsia_tests
Grand Falls Twp,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Grand Isle,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Grand Lake Stream Plt,2019,0%,0,1,0%,0,1,0%,0,1,0%,0,0,0%,0,0,0%,0,0
Gray,2019,30.80%,4,13,0%,0,13,7.70%,1,13,0%,0,0,0%,0,0,0%,0,0
Great Pond,2019,100%,1,1,0%,0,1,0%,0,1,0%,0,0,0%,0,0,0%,0,0
Greenbush,2019,0%,0,1,0%,0,1,0%,0,1,0%,0,0,0%,0,0,0%,0,0
Greene,2019,66.70%,2,3,0%,0,3,66.70%,2,3,0%,0,0,0%,0,0,0%,0,0
Greenfield Twp,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Greenlaw Chopping Twp,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Greenville,2019,0%,0,1,0%,0,1,0%,0,1,0%,0,0,0%,0,0,0%,0,0
Greenwood,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Grindstone Twp,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Guilford,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Hallowell,2019,50%,2,4,25%,1,4,0%,0,4,0%,0,0,0%,0,0,0%,0,0
Hamlin,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Hammond,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Hammond Twp,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Hampden,2019,50%,6,12,8.30%,1,12,0%,0,12,0%,0,0,0%,0,0,0%,0,0
Hancock,2019,33.30%,3,9,0%,0,9,0%,0,9,0%,0,0,0%,0,0,0%,0,0
Hanover,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Harfords Point Twp,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Harmony,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Harpswell,2019,41.20%,7,17,17.60%,3,17,5.90%,1,17,0%,0,0,0%,0,0,0%,0,0
Harrington,2019,100%,2,2,0%,0,2,0%,0,2,0%,0,0,0%,0,0,0%,0,0
Harrison,2019,0%,0,1,0%,0,1,0%,0,1,0%,0,0,0%,0,0,0%,0,0
Hartford,2019,33.30%,1,3,0%,0,3,0%,0,3,0%,0,0,0%,0,0,0%,0,0
Hartland,2019,0%,0,1,0%,0,1,0%,0,1,0%,0,0,0%,0,0,0%,0,0
Haynesville,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Hebron,2019,0%,0,1,0%,0,1,0%,0,1,0%,0,0,0%,0,0,0%,0,0
Hermon,2019,16.70%,1,6,0%,0,6,0%,0,6,0%,0,0,0%,0,0,0%,0,0
Hersey,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Herseytown Twp,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Hibberts Gore,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Highland Plt,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Hiram,2019,50%,1,2,50%,1,2,0%,0,2,0%,0,0,0%,0,0,0%,0,0
Hobbstown Twp,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Hodgdon,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Holden,2019,45.50%,5,11,0%,0,11,0%,0,11,0%,0,0,0%,0,0,0%,0,0
Holeb Twp,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Hollis,2019,0%,0,3,0%,0,3,0%,0,3,0%,0,0,0%,0,0,0%,0,0
Hope,2019,57.10%,4,7,0%,0,7,0%,0,7,0%,0,0,0%,0,0,0%,0,0
Hopkins Academy Grant Twp,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Houlton,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Howland,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Hudson,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Indian Island,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Indian Stream Twp,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Indian Twp Res,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Industry,2019,66.70%,2,3,0%,0,3,0%,0,3,0%,0,0,0%,0,0,0%,0,0
Island Falls,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Isle au Haut,2019,0%,0,1,0%,0,1,0%,0,1,0%,0,0,0%,0,0,0%,0,0
Islesboro,2019,100%,1,1,0%,0,1,0%,0,1,0%,0,0,0%,0,0,0%,0,0
Jackman,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Jackson,2019,25%,1,4,0%,0,4,0%,0,4,0%,0,0,0%,0,0,0%,0,0
Jay,2019,50%,2,4,0%,0,4,0%,0,4,0%,0,0,0%,0,0,0%,0,0
Jefferson,2019,55.60%,10,18,5.60%,1,18,0%,0,18,0%,0,0,0%,0,0,0%,0,0
Jim Pond Twp,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Johnson Mountain Twp,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Jonesboro,2019,0%,0,1,0%,0,1,0%,0,1,0%,0,0,0%,0,0,0%,0,0
Jonesport,2019,0%,0,2,0%,0,2,0%,0,2,0%,0,0,0%,0,0,0%,0,0
Katahdin Iron Works Twp,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Kenduskeag,2019,0%,0,2,50%,1,2,0%,0,2,0%,0,0,0%,0,0,0%,0,0
Kennebunk,2019,20%,2,10,0%,0,10,10%,1,10,0%,0,0,0%,0,0,0%,0,0
Kennebunkport,2019,20%,1,5,0%,0,5,0%,0,5,0%,0,0,0%,0,0,0%,0,0
Kibby Twp,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Kineo Twp,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
King & Bartlett Twp,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Kingfield,2019,100%,2,2,0%,0,2,0%,0,2,0%,0,0,0%,0,0,0%,0,0
Kingman Twp,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Kingsbury Plt,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Kittery,2019,42.90%,3,7,14.30%,1,7,0%,0,7,0%,0,0,0%,0,0,0%,0,0
Knox,2019,0%,0,1,0%,0,1,0%,0,1,0%,0,0,0%,0,0,0%,0,0
Kossuth Twp,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Lagrange,2019,0%,0,1,0%,0,1,0%,0,1,0%,0,0,0%,0,0,0%,0,0
Lake View Plt,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Lakeville,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Lambert Lake Twp,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Lamoine,2019,30.80%,4,13,38.50%,5,13,0%,0,13,0%,0,0,0%,0,0,0%,0,0
Lang Twp,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Lebanon,2019,100%,2,2,0%,0,2,0%,0,2,0%,0,0,0%,0,0,0%,0,0
Lee,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Leeds,2019,33.30%,1,3,33.30%,1,3,0%,0,3,0%,0,0,0%,0,0,0%,0,0
Levant,2019,44.40%,4,9,11.10%,1,9,0%,0,9,0%,0,0,0%,0,0,0%,0,0
Lewiston,2019,0%,0,3,0%,0,3,0%,0,3,0%,0,0,0%,0,0,0%,0,0
Lexington Twp,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Liberty,2019,37.50%,3,8,0%,0,8,0%,0,8,0%,0,0,0%,0,0,0%,0,0
Lily Bay Twp,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Limerick,2019,16.70%,1,6,50%,3,6,16.70%,1,6,0%,0,0,0%,0,0,0%,0,0
Limestone,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Limington,2019,100%,1,1,100%,1,1,0%,0,1,0%,0,0,0%,0,0,0%,0,0
Lincoln,2019,66.70%,4,6,0%,0,6,0%,0,6,0%,0,0,0%,0,0,0%,0,0
Lincoln Plt,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Lincolnville,2019,33.30%,4,12,0%,0,12,8.30%,1,12,0%,0,0,0%,0,0,0%,0,0
Linneus,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Lisbon,2019,66.70%,4,6,16.70%,1,6,16.70%,1,6,0%,0,0,0%,0,0,0%,0,0
Litchfield,2019,83.30%,5,6,16.70%,1,6,16.70%,1,6,0%,0,0,0%,0,0,0%,0,0
Little W Twp,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Littleton,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Livermore,2019,66.70%,2,3,0%,0,3,0%,0,3,0%,0,0,0%,0,0,0%,0,0
Livermore Falls,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Lobster Twp,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Long A Twp,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Long Island,2019,100%,1,1,0%,0,1,0%,0,1,0%,0,0,0%,0,0,0%,0,0
Long Pond Twp,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Lovell,2019,0%,0,1,0%,0,1,0%,0,1,0%,0,0,0%,0,0,0%,0,0
Lowell,2019,0%,0,1,0%,0,1,0%,0,1,0%,0,0,0%,0,0,0%,0,0
Lowelltown Twp,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Lower Cupsuptic Twp,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Lower Enchanted Twp,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Lubec,2019,0%,0,1,0%,0,1,0%,0,1,0%,0,0,0%,0,0,0%,0,0
Ludlow,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Lyman,2019,66.70%,2,3,0%,0,3,66.70%,2,3,0%,0,0,0%,0,0,0%,0,0
Lynchtown Twp,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Machias,2019,40%,2,5,20%,1,5,0%,0,5,0%,0,0,0%,0,0,0%,0,0
Machiasport,2019,33.30%,1,3,0%,0,3,0%,0,3,0%,0,0,0%,0,0,0%,0,0
Macwahoc Plt,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Madawaska,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Madawaska Lake Twp,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Madison,2019,0%,0,1,0%,0,1,0%,0,1,0%,0,0,0%,0,0,0%,0,0
Madrid Twp,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Magalloway Plt,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Manchester,2019,0%,0,1,0%,0,1,0%,0,1,0%,0,0,0%,0,0,0%,0,0
Mapleton,2019,0%,0,1,0%,0,1,0%,0,1,0%,0,0,0%,0,0,0%,0,0
Mariaville,2019,100%,1,1,0%,0,1,0%,0,1,0%,0,0,0%,0,0,0%,0,0
Marion Twp,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Mars Hill,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Marshfield,2019,100%,1,1,100%,1,1,0%,0,1,0%,0,0,0%,0,0,0%,0,0
Masardis,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Mason Twp,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Massachusetts Gore,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Matinicus Isle Plt,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Mattamiscontis Twp,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Mattawamkeag,2019,0%,0,1,0%,0,1,0%,0,1,0%,0,0,0%,0,0,0%,0,0
Maxfield,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Mayfield Twp,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Mechanic Falls,2019,50%,1,2,0%,0,2,50%,1,2,0%,0,0,0%,0,0,0%,0,0
Meddybemps,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Medford,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Medway,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Mercer,2019,0%,0,2,50%,1,2,0%,0,2,0%,0,0,0%,0,0,0%,0,0
Merrill,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Merrill Strip Twp,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Mexico,2019,100%,1,1,100%,1,1,100%,1,1,0%,0,0,0%,0,0,0%,0,0
Milbridge,2019,0%,0,2,0%,0,2,0%,0,2,0%,0,0,0%,0,0,0%,0,0
Milford,2019,33.30%,1,3,0%,0,3,0%,0,3,0%,0,0,0%,0,0,0%,0,0
Millinocket,2019,0%,0,1,0%,0,1,0%,0,1,0%,0,0,0%,0,0,0%,0,0
Milo,2019,0%,0,2,0%,0,2,0%,0,2,0%,0,0,0%,0,0,0%,0,0
Milton Twp,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Minot,2019,50%,1,2,50%,1,2,0%,0,2,0%,0,0,0%,0,0,0%,0,0
Misery Gore Twp,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Misery Twp,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Molunkus Twp,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Monhegan Island Plt,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Monmouth,2019,28.60%,2,7,14.30%,1,7,0%,0,7,0%,0,0,0%,0,0,0%,0,0
Monroe,2019,37.50%,3,8,25%,2,8,12.50%,1,8,0%,0,0,0%,0,0,0%,0,0
Monson,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Monticello,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Montville,2019,51.70%,15,29,13.80%,4,29,17.20%,5,29,0%,0,0,0%,0,0,0%,0,0
Moose River,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Moosehead Junction Twp,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Moro Plt,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Morrill,2019,33.30%,2,6,0%,0,6,0%,0,6,0%,0,0,0%,0,0,0%,0,0
Moscow,2019,100%,1,1,0%,0,1,0%,0,1,0%,0,0,0%,0,0,0%,0,0
Mount Abram Twp,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Mount Chase,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Mount Desert,2019,37.80%,14,37,0%,0,37,2.70%,1,37,0%,0,0,0%,0,0,0%,0,0
Mount Katahdin Twp,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Mount Vernon,2019,22.20%,2,9,22.20%,2,9,11.10%,1,9,0%,0,0,0%,0,0,0%,0,0
Moxie Gore,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Muscle Ridge Twp,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Naples,2019,33.30%,1,3,0%,0,3,0%,0,3,0%,0,0,0%,0,0,0%,0,0
Nashville Plt,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Nesourdnahunk Twp,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
New Canada,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
New Gloucester,2019,38.50%,5,13,7.70%,1,13,7.70%,1,13,0%,0,0,0%,0,0,0%,0,0
New Limerick,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
New Portland,2019,0%,0,1,0%,0,1,0%,0,1,0%,0,0,0%,0,0,0%,0,0
New Sharon,2019,100%,3,3,0%,0,3,0%,0,3,0%,0,0,0%,0,0,0%,0,0
New Sweden,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
New Vineyard,2019,0%,0,1,0%,0,1,0%,0,1,0%,0,0,0%,0,0,0%,0,0
Newburgh,2019,36.40%,4,11,0%,0,11,0%,0,11,0%,0,0,0%,0,0,0%,0,0
Newcastle,2019,20%,2,10,10%,1,10,0%,0,10,0%,0,0,0%,0,0,0%,0,0
Newfield,2019,0%,0,1,0%,0,1,0%,0,1,0%,0,0,0%,0,0,0%,0,0
Newport,2019,50%,1,2,0%,0,2,0%,0,2,0%,0,0,0%,0,0,0%,0,0
Newry,2019,0%,0,1,100%,1,1,0%,0,1,0%,0,0,0%,0,0,0%,0,0
Nobleboro,2019,36.40%,4,11,0%,0,11,9.10%,1,11,0%,0,0,0%,0,0,0%,0,0
Norridgewock,2019,40%,2,5,0%,0,5,0%,0,5,0%,0,0,0%,0,0,0%,0,0
North Berwick,2019,66.70%,2,3,0%,0,3,33.30%,1,3,0%,0,0,0%,0,0,0%,0,0
North Haven,2019,0%,0,1,0%,0,1,0%,0,1,0%,0,0,0%,0,0,0%,0,0
North Yarmouth,2019,33.30%,5,15,13.30%,2,15,0%,0,15,0%,0,0,0%,0,0,0%,0,0
North Yarmouth Academy Grant Twp,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Northeast Carry Twp,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Northfield,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Northport,2019,20%,1,5,0%,0,5,0%,0,5,0%,0,0,0%,0,0,0%,0,0
Norway,2019,0%,0,4,0%,0,4,25%,1,4,0%,0,0,0%,0,0,0%,0,0
Oakfield,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Oakland,2019,55.60%,5,9,11.10%,1,9,0%,0,9,0%,0,0,0%,0,0,0%,0,0
Ogunquit,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Old Orchard Beach,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Old Town,2019,43.80%,7,16,12.50%,2,16,0%,0,16,0%,0,0,0%,0,0,0%,0,0
Oqiton Twp,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Orient,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Orland,2019,35.70%,5,14,14.30%,2,14,0%,0,14,0%,0,0,0%,0,0,0%,0,0
Orneville Twp,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Orono,2019,47.20%,17,36,2.80%,1,36,5.60%,2,36,0%,0,0,0%,0,0,0%,0,0
Orrington,2019,55.60%,5,9,0%,0,9,0%,0,9,0%,0,0,0%,0,0,0%,0,0
Osborn,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Otis,2019,50%,1,2,0%,0,2,0%,0,2,0%,0,0,0%,0,0,0%,0,0
Otisfield,2019,100%,1,1,0%,0,1,0%,0,1,0%,0,0,0%,0,0,0%,0,0
Owls Head,2019,28.60%,2,7,0%,0,7,0%,0,7,0%,0,0,0%,0,0,0%,0,0
Oxbow North Twp,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Oxbow Twp,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Oxford,2019,66.70%,2,3,33.30%,1,3,0%,0,3,0%,0,0,0%,0,0,0%,0,0
Palermo,2019,0%,0,1,0%,0,1,0%,0,1,0%,0,0,0%,0,0,0%,0,0
Palmyra,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Paris,2019,50%,2,4,0%,0,4,0%,0,4,0%,0,0,0%,0,0,0%,0,0
Parkertown Twp,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Parkman,2019,100%,1,1,0%,0,1,0%,0,1,0%,0,0,0%,0,0,0%,0,0
Parlin Pond Twp,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Parmachenee Twp,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Parsonsfield,2019,100%,2,2,50%,1,2,0%,0,2,0%,0,0,0%,0,0,0%,0,0
Passadumkeag,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Patten,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Pembroke,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Penobscot,2019,57.10%,4,7,28.60%,2,7,14.30%,1,7,0%,0,0,0%,0,0,0%,0,0
Perham,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Perkins Twp,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Perkins Twp Swan Island,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Perry,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Peru,2019,50%,1,2,0%,0,2,50%,1,2,0%,0,0,0%,0,0,0%,0,0
Phillips,2019,0%,0,1,0%,0,1,0%,0,1,0%,0,0,0%,0,0,0%,0,0
Phippsburg,2019,42.90%,6,14,14.30%,2,14,14.30%,2,14,0%,0,0,0%,0,0,0%,0,0
Pierce Pond Twp,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Pittsfield,2019,0%,0,1,0%,0,1,0%,0,1,0%,0,0,0%,0,0,0%,0,0
Pittston,2019,0%,0,5,0%,0,5,0%,0,5,0%,0,0,0%,0,0,0%,0,0
Pittston Academy Grant,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Pleasant Point,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Pleasant Ridge Plt,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Plymouth,2019,20%,1,5,0%,0,5,0%,0,5,0%,0,0,0%,0,0,0%,0,0
Plymouth Twp,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Poland,2019,40%,2,5,0%,0,5,0%,0,5,0%,0,0,0%,0,0,0%,0,0
Portage Lake,2019,0%,0,1,0%,0,1,0%,0,1,0%,0,0,0%,0,0,0%,0,0
Porter,2019,0%,0,1,0%,0,1,0%,0,1,0%,0,0,0%,0,0,0%,0,0
Portland,2019,35%,7,20,10%,2,20,10%,2,20,0%,0,0,0%,0,0,0%,0,0
Pownal,2019,66.70%,6,9,11.10%,1,9,0%,0,9,0%,0,0,0%,0,0,0%,0,0
Prentiss Twp T4 R4 NBKP,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Prentiss Twp T7 R3 NBPP,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Presque Isle,2019,0%,0,1,0%,0,1,0%,0,1,0%,0,0,0%,0,0,0%,0,0
Princeton,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Prospect,2019,100%,1,1,0%,0,1,0%,0,1,0%,0,0,0%,0,0,0%,0,0
Pukakon Twp,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Rainbow Twp,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Randolph,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Rangeley,2019,33.30%,1,3,0%,0,3,0%,0,3,0%,0,0,0%,0,0,0%,0,0
Rangeley Plt,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Raymond,2019,50%,3,6,0%,0,6,16.70%,1,6,0%,0,0,0%,0,0,0%,0,0
Readfield,2019,22.20%,2,9,0%,0,9,0%,0,9,0%,0,0,0%,0,0,0%,0,0
Redington Twp,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Reed Plt,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Richardsontown Twp,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Richmond,2019,75%,3,4,0%,0,4,25%,1,4,0%,0,0,0%,0,0,0%,0,0
Riley Twp,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Ripley,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
