town,year,borrelia_percent,borrelia_positive,borrelia_tests,anaplasma_percent,anaplasma_positive,anaplasma_tests,babesia_percent,babesia_positive,babesia_tests,ehrlichia_percent,ehrlichia_positive,ehrlichia_tests,francisella_percent,francisella_positive,francisella_tests,rickettsia_percent,rickettsia_positive,rickettsia_tests
Big Six Twp,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Big Ten Twp,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Big Twenty Twp,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Big W Twp,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Bigelow Twp,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Bingham,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Blaine,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Blake Gore,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Blanchard Twp,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Blue Hill,2019,48.30%,14,29,6.90%,2,29,0%,0,29,0%,0,0,0%,0,0,0%,0,0
Boothbay,2019,51.40%,18,35,0%,0,35,0%,0,35,0%,0,0,0%,0,0,0%,0,0
Boothbay Harbor,2019,33.30%,6,18,0%,0,18,5.60%,1,18,0%,0,0,0%,0,0,0%,0,0
Bowdoin,2019,100%,3,3,0%,0,3,0%,0,3,0%,0,0,0%,0,0,0%,0,0
Bowdoin College Grant East Twp,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Bowdoin College Grant West Twp,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Bowdoinham,2019,50%,1,2,0%,0,2,50%,1,2,0%,0,0,0%,0,0,0%,0,0
Bowerbank,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Bowmantown Twp,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Bowtown Twp,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Bradford,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Bradley,2019,100%,2,2,0%,0,2,0%,0,2,0%,0,0,0%,0,0,0%,0,0
Bradstreet Twp,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Brassua Twp,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Bremen,2019,50%,2,4,0%,0,4,0%,0,4,0%,0,0,0%,0,0,0%,0,0
Brewer,2019,20%,1,5,0%,0,5,0%,0,5,0%,0,0,0%,0,0,0%,0,0
Bridgewater,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Bridgton,2019,30.80%,8,26,30.80%,8,26,0%,0,26,0%,0,0,0%,0,0,0%,0,0
Brighton Plt,2019,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0
Bristol,2019,50%,13,26,11.50%,3,26,15.40%,4,26,0%,0,0,0%,0,0,0%,0,0
Brooklin,2019,0%,0,8,12.50%,1,8,0%,0,8,0%,0,0,0%,0,0,0%,0,0
Brooks,2019,100%,2,2,0%,0,2,0%,0,2,0%,0,0,0%,0,0,0%,0,0
Brooksville,2019,26.70%,4,15,6.70%,1,15,0%,0,15,0%,0,0,0%,0,0,0%,0,0
