"rank","NAME","pop2022","pop2010","growth","density","aland_sqmi"
"111","Brunswick Station","806","578","0.3945","167","4.8350"
"113","Bowdoinham","788","722","0.0914","222","3.5560"
"114","Bingham","784","758","0.0343","347","2.2600"
"115","Mapleton","756","683","0.1069","276","2.7400"
"116","Hartland","666","813","-0.1808","299","2.2240"
"117","Casco","653","587","0.1124","199","3.2830"
"118","Southwest Harbor","647","720","-0.1014","480","1.3470"
"119","Guilford","591","903","-0.3455","308","1.9180"
"120","Ashland","573","709","-0.1918","129","4.4590"
"121","Newcastle","512","667","-0.2324","236","2.1670"
"122","Naples","496","428","0.1589","191","2.5910"
"123","Eagle Lake","465","625","-0.2560","118","3.9550"
"124","Cousins Island","451","490","-0.0796","425","1.0610"
"125","Unity","377","469","-0.1962","206","1.8330"
"126","Lubec","314","349","-0.1003","602","0.5220"
"127","Winter Harbor","286","426","-0.3286","132","2.1690"
"128","Blaine","244","301","-0.1894","89","2.7300"
"129","Standish","219","469","-0.5330","82","2.6780"
"130","Littlejohn Island","52","118","-0.5593","152","0.3420"
